

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.003  000.003: --- VIM STARTING ---
000.057  000.054: Allocated generic buffers
000.058  000.001: GUI prepared
000.059  000.001: clipboard setup
000.062  000.003: window checked
000.304  000.242: inits 1
000.307  000.003: parsing arguments
000.308  000.001: expanding arguments
000.318  000.010: shell init
000.339  000.021: inits 2
000.462  000.123: init highlight
004.346  001.375  001.375: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/syntax/syncolor.vim
004.457  002.115  000.740: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/syntax/synload.vim
011.770  000.234  000.234: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/autoload/paste.vim
013.508  003.277  003.043: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/menu.vim
013.530  008.532  005.255: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/filetype.vim
013.581  011.604  000.957: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/syntax/syntax.vim
013.765  000.024  000.024: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/filetype.vim
014.597  000.292  000.292: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/ftplugin.vim
015.098  000.300  000.300: sourcing /private/var/containers/Bundle/Application/E39A2987-C78E-4F3B-BEE7-EFC1AC29433A/iVim.app/runtime/indent.vim
015.160  014.585  002.365: sourcing $VIM/vimrc
016.097  000.415  000.415: sourcing $VIMRUNTIME/macmap.vim
